COD_DISCIPLINA,NOME_DISCIPLINA,COD_TURMA,VAGAS_OFERECIDAS,DIA_SEMANA,HR_INICIO,HR_FIM,TIPO_AULA,COD_CURSO,NOME_UNIDADE,ITEM_TABELA,DIA_ITEM,DT_INICIO_PERIODO,DT_FIM_PERIODO,COD_OPERADOR,NOME_USUARIO,VERSAO_CURSO,CH_TEORICA,CH_PRATICA,CH_ESTAGIO
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,D,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,E,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,F,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI080,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL I,G,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232503,ANDRE LUIS VIGNATTI,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,A,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,B,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
CI081,TRAB DE GRADUACAO EM INTELIGENCIA ARTIFICIAL II,C,15,,,,,21A,Curso de Ciência da Computação - Bacharelado,,,,,232700,OTAVIO THEOBALDO REMER,2011 - Ciência da Computação,60,60,
